,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018/12/20,13,43,135,53,26,9,26,21
2018/12/21,10,38,126,52,26,5,24,17
2018/12/22,9,35,140,47,27,5,22,16
2018/12/23,11,37,127,34,29,6,18,13
2018/12/24,10,39,105,38,25,10,17,10
2018/12/25,8,34,110,35,20,8,15,9
2018/12/26,5,36,124,46,27,9,18,15
2018/12/27,5,41,126,46,29,14,21,16
2018/12/28,10,42,137,43,22,12,18,14
2018/12/29,12,38,139,50,29,11,14,13
2018/12/30,9,36,153,42,26,10,17,15
2018/12/31,5,36,136,54,25,9,16,16
