index,Total,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018-06-26,355.0,12.0,43.0,167.0,58.0,30.0,10.0,22.0,13.0
2018-06-27,339.0,11.0,43.0,152.0,56.0,35.0,10.0,19.0,13.0
2018-06-28,355.0,10.0,40.0,152.0,65.0,34.0,12.0,22.0,20.0
2018-06-29,350.0,9.0,42.0,159.0,66.0,33.0,11.0,17.0,13.0
2018-06-30,387.0,10.0,35.0,205.0,68.0,30.0,12.0,17.0,10.0
2018-07-01,362.0,13.0,34.0,201.0,49.0,25.0,12.0,17.0,11.0
2018-07-02,356.0,11.0,37.0,174.0,56.0,30.0,13.0,20.0,15.0
2018-07-03,372.0,8.0,47.0,184.0,58.0,31.0,14.0,17.0,13.0
2018-07-04,378.0,9.0,44.0,192.0,67.0,28.0,14.0,14.0,10.0
2018-07-05,427.0,11.0,45.0,215.0,78.0,31.0,17.0,15.0,15.0
2018-07-06,386.0,10.0,42.0,195.0,63.0,27.0,17.0,17.0,15.0
2018-07-07,397.0,9.0,39.0,211.0,66.0,27.0,15.0,17.0,13.0
2018-07-08,401.0,9.0,34.0,230.0,54.0,30.0,15.0,18.0,11.0
2018-07-09,375.0,10.0,38.0,190.0,61.0,31.0,14.0,20.0,11.0
2018-07-10,362.0,9.0,43.0,175.0,59.0,31.0,15.0,20.0,10.0
2018-07-11,370.0,10.0,39.0,171.0,59.0,38.0,16.0,26.0,11.0
2018-07-12,367.0,13.0,45.0,172.0,59.0,32.0,14.0,23.0,9.0
2018-07-13,372.0,14.0,45.0,175.0,62.0,30.0,16.0,20.0,10.0
2018-07-14,409.0,15.0,40.0,209.0,70.0,33.0,17.0,18.0,7.0
2018-07-15,391.0,14.0,38.0,193.0,61.0,33.0,18.0,22.0,12.0
2018-07-16,379.0,12.0,46.0,175.0,61.0,33.0,16.0,24.0,12.0
2018-07-17,340.0,14.0,44.0,154.0,56.0,27.0,14.0,21.0,10.0
2018-07-18,359.0,18.0,43.0,160.0,57.0,33.0,15.0,23.0,10.0
2018-07-19,346.0,11.0,48.0,148.0,60.0,31.0,15.0,21.0,12.0
